seq,phase,topic,initiator,exchange_summary,outcome,refs
1,setup,Session start,claude,"Venv check, startup docs, project status, health checks run; clean slate — no tasks, no pending articles","Session checklist complete",—
2,framing,Task framing,ben,"Ben: list everything to accomplish; mine legacy repos/PROJECT-TEMPLATE for concepts/abstractions NOT code/process; wants flexible, idempotent, modular, extendable, long-term-supportable framework","T-001 created (P0) and started",T-001
3,discovery,Legacy concept extraction,claude,"Explore agent swept PROJECT-TEMPLATE v2.5.0: 45-concept inventory, lifecycle map, state/persistence analysis, pain points (unmergeable SQLite, prose enforcement, config drift, destructive GC), 22 clever ideas worth keeping","Full report saved as session artifact; distilled summary presented",—
4,foundations,Audience,claude,"Q: who is this for long-term? Options solo/distributable/public","Ben: public/open-source — versioning, migrations, CI, stranger-docs become core",goals doc
5,foundations,Harness coupling,claude,"Q: Claude Code-native vs neutral core vs portable-later; noted enforcement depth varies by harness","Ben: neutral core + adapters; core declares WHAT holds, adapters enforce what they can",G6
6,foundations,State model redirect,ben,"Claude offered text-vs-SQLite options; Ben: this deserves more attention, part of a longer list — let's talk","Deep-dive replaced multiple-choice; established Ben redirects format when needed",—
7,foundations,State-kind taxonomy,claude,"Key insight: legacy fused 6 state kinds in one bucket; each legacy bug maps to a category confusion; presented architectures A-D (text+index / event sourcing / DB+roundtrip / text+git-as-log)","Recommended D: per-entity text as truth, git as history; Ben's later goals confirmed it",Art.004; state-model.md
8,goals,G1 ingestion,ben,"Goal dump began: drop existing codebase in, template ingests it, option to re-root git so template is repo root","G1 captured; history question deferred to follow-up",G1
9,goals,G2 no git shipped,ben,"Template should not ship with git — Ben builds inside template, doesn't need that modularity","G2: ships as artifact; git belongs to user workspace; kills template_dev hazard",G2
10,goals,G3 team state,ben,"Team use: docs/routing/articles must survive merges like code does — state tracked extensively and modularly","G3: mergeable text state; validated taxonomy decision; killed sequential IDs",G3
11,goals,G4 feature toggles,ben,"Turn features on/off at will (e.g. code review enforcement) with an assisting skill","G4: feature registry + /keel-features; toggle granularity = modularity granularity",G4
12,goals,G5 portability,ben,"Move repo between computers; only run a setup script; work immediately in Claude or Codex","G5: one idempotent setup script ever",G5
13,goals,G6 harness-agnostic,ben,"Use Claude/Codex/etc interchangeably; MCP and docs work regardless; CLAUDE.md becomes agnostic shim; AGENTS.md likewise","G6: thin shims over shared neutral docs; MCP common denominator",G6
14,goals,G7 model directives,ben,"Adjust features/directives per model dynamically (Opus 5 guidance differs greatly from original template era)","G7 captured; later refined: default set + sparse overlays for named models only",G7
15,goals,G8 update system,ben,"Push updates; deployed templates detect, prompt, auto-backup, dry-run; mostly seamless; host in S3/git/whatever","G8: hosted channel + detection + backup + dry-run",G8
16,goals,G9 credentials,ben,"During onboarding choose current credentials or configure alternates (personal Claude vs Bedrock for work) with guided setup","G9: per-machine profiles, never tracked",G9
17,goals,G1 history question,claude,"Q: preserve their git history and remote, or fresh start?","Ben: offer both, recommend keep-history",G1
18,goals,G10 provenance,ben,"Mid-turn addition: track their changes vs our changes for correct merge/remove; respect user articles; allow user hooks/scripts; maybe adapter system; flexible and idempotent","G10: pristine-baseline 3-way merge + namespaced extension points (not a bespoke adapter system)",G10
19,goals,G7 clarification,ben,"Model directives: only SOME models get specifics; everything else uses a default set","Overlays are sparse deltas; unknown model = default, never an error",G7
20,goals,G11 tutorial,ben,"Tutorial always available, offered in onboarding as today; post-onboarding nudges guide efficient correct usage","G11: one curated corpus, two delivery modes (on-request + contextual nudges)",G11
21,goals,G12 self-cleanup,ben,"Onboarding should clean up after itself — interview data not needed after; keep update/tutorial/runtime systems","G12: manifest-marked setup-only assets, declarative cleanup",G12
22,goals,G13 task tracking,ben,"Task system so work starts without re-giving context; gradual documentation in tasks before full design","G13: tasks as context on-ramp; bridge across /clear and teammates",G13
23,goals,Keep/change/kill greenlit,ben,"Ben: yes let's do the keep/change/kill pass on legacy features","36-item walkthrough queued",—
24,goals,Engine constraints,ben,"Open to other languages; python+venv is a pain but available everywhere; WSL/Linux/Mac minimum, Windows nice-to-have; nothing but setup script for end user","Constraints captured; TS/Node teased (harnesses guarantee Node)",platform.md
25,goals,Team workflow deferral,ben,"Ben unsure of right team shape; asked for discussion with examples later","Queued; delivered as 4 worked scenarios",collaboration.md
26,goals,G14 namespaces,ben,"Prepend our skills to avoid frontier-name collisions; skill-builder skill creates user skills the approved way with their own prefix","G14: three namespaces (harness / keel / user) + skill-builder",G14
27,harvest,Oval game articles,ben,"Ben: look at repos/the_oval_game constitution for base-article inspiration (don't read everything)","Read 6 most generalizable articles (012,014,015,018,022,030)",governance.md
